Value,Measure Type,Sex,Period
76.7,W06000022,M,2004
80.7,W06000022,F,2004
77.1,W06000022,M,2005
80.9,W06000022,F,2005
77.0,W06000022,M,2006
81.5,W06000022,F,2006
78.7,W06000015,M,2004
83.3,W06000015,F,2004
78.6,W06000015,M,2005
83.7,W06000015,F,2005
78.7,W06000015,M,2006
83.4,W06000015,F,2006
76.6,W06000021,M,2004
81.3,W06000021,F,2004
76.5,W06000021,M,2005
81.5,W06000021,F,2005
76.6,W06000021,M,2006
81.7,W06000021,F,2006
75.5,W06000024,M,2004
79.1,W06000024,F,2004
75.5,W06000024,M,2005
79.4,W06000024,F,2005
74.9,W06000024,M,2006
79.6,W06000024,F,2006
